date_time,Hora,O3,NO,NO2,NOX,SO2,CO,PM10,PM2.5,Tmp,RH,WS,WD,Precipitacion,Rad Solar
1/1/2017,00:00:00,0.013,0.005,0.017,0.022,0.0038,0.79,48.2,,17.6,58.4,2.9,5.8,0,
1/1/2017,01:00:00,0.01,0.005,0.023,0.028,0.0032,0.829,76.4,,16.8,63.4,1.3,4.8,0,
1/1/2017,02:00:00,0.01,0.005,0.021,0.026,0.003,0.891,56.6,,16,67.1,0.4,4.9,0,
1/1/2017,03:00:00,0.006,0.01,0.028,0.038,0.003,1.163,36.4,,15.2,71.1,0.1,2.4,0,
1/1/2017,04:00:00,0.005,0.028,0.032,0.06,0.0034,1.935,50.9,,14.6,74,0.5,4.1,0,
1/1/2017,05:00:00,0.005,0.048,0.03,0.077,0.0038,2.509,93.4,,13.9,74.8,0.1,6.8,0,
1/1/2017,06:00:00,0.005,0.057,0.029,0.086,0.0039,2.887,112.6,,13.7,75.9,0.3,2.8,0,
1/1/2017,07:00:00,0.005,0.037,0.026,0.063,0.0036,2.072,106.8,,13.5,76.9,1.1,4.6,0,
1/1/2017,08:00:00,0.008,0.011,0.023,0.034,0.0032,1.532,107.2,,14.1,77.2,0.7,4.4,0,
1/1/2017,09:00:00,0.016,0.006,0.015,0.02,0.0031,0.901,73.3,,16.8,73.4,1.4,8.7,0,
1/1/2017,10:00:00,0.024,0.003,0.009,0.012,0.0032,0.641,53.5,,20.2,56.2,3,12.7,0,
1/1/2017,11:00:00,0.025,0.003,0.008,0.01,0.0032,0.414,34.5,,23.3,40,2.7,16.5,0,
1/1/2017,12:00:00,0.028,0.004,0.007,0.011,0.0033,0.399,20.6,,25.2,32.6,3.3,20,0,
1/1/2017,13:00:00,0.028,0.003,0.005,0.007,0.003,0.332,20.7,,26.5,26.3,5.1,21.9,0,
1/1/2017,14:00:00,0.027,0.004,0.005,0.009,0.0019,0.346,23.6,,27.2,24.7,5.3,21.7,0,
1/1/2017,15:00:00,0.027,0.004,0.006,0.009,0.0019,0.339,23.5,,26.3,25.3,6.3,19.2,0,
1/1/2017,16:00:00,0.026,0.005,0.007,0.012,0.002,0.371,26.2,,25.4,27.9,5.4,16.1,0,
1/1/2017,17:00:00,0.025,0.005,0.009,0.014,0.0029,0.468,27,,24.4,29.6,5.4,13.4,0,
1/1/2017,18:00:00,0.02,0.005,0.016,0.021,0.0032,0.57,23,,22.6,33.6,4.9,9.7,0,
1/1/2017,19:00:00,0.014,0.008,0.023,0.032,0.0033,0.876,25.6,,21,38.4,3.6,7.8,0,
1/1/2017,20:00:00,0.009,0.011,0.029,0.039,0.0037,0.853,26.4,,19.8,43.3,3.1,6.9,0,
1/1/2017,21:00:00,0.008,0.011,0.032,0.043,0.0033,0.908,32.1,,18.8,48.8,1.3,5.8,0,
1/1/2017,22:00:00,0.005,0.03,0.035,0.065,0.0033,1.584,36.5,,17.6,53.2,1.1,5.3,0,
1/1/2017,23:00:00,0.006,0.015,0.031,0.045,0.0029,1.279,39.7,,16.9,58.9,1.1,5.5,0,
1/2/2017,00:00:00,0.007,0.006,0.026,0.031,0.0028,0.931,38,,16,64,0.4,3.2,0,
1/2/2017,01:00:00,0.004,0.033,0.029,0.062,0.0033,1.246,38.4,,15.3,67,0.2,3.3,0,
1/2/2017,02:00:00,0.004,0.065,0.03,0.094,0.0038,1.503,40,,14.2,68.9,0.1,2.1,0,
1/2/2017,03:00:00,0.004,0.079,0.027,0.106,0.0039,1.658,47.8,,13.7,70.9,0.1,2,0,
