date, pm25, pm10, o3, no2, so2, co
2025/3/2, 111, 32, 61, , 17, 
2025/3/3, 97, 36, 43, , 19, 
2025/3/4, 116, 37, 37, , 16, 
2025/3/5, 110, 41, 77, , 18, 
2025/3/6, 122, 32, 3, , 18, 
2025/3/7, 117, 40, 41, , 5, 
2025/3/8, 124, 38, 44, , 3, 
2025/3/9, 116, 38, 46, , , 
2025/3/10, 107, 48, 65, , , 
2025/3/11, 123, 37, 52, , 1, 
2025/3/12, 110, 27, 32, , , 
2025/3/13, 83, 26, 37, , 1, 
2025/3/14, 96, 36, 26, , 6, 
2025/3/15, 115, 29, 40, , , 
2025/3/16, 103, 43, 95, , , 
2025/3/17, 114, , , , , 
2025/2/2, 131, 43, 50, , , 
2025/2/3, 123, 37, 69, , , 
2025/2/4, 112, 38, 46, , , 
2025/2/5, 112, 39, 61, , , 
2025/2/6, 122, 38, 71, , 15, 
2025/2/7, 117, 48, 68, , 18, 
2025/2/8, 139, 45, 73, , 19, 
2025/2/9, 132, 33, 67, , 17, 
2025/2/10, 100, 42, 66, , 17, 
2025/2/11, 129, 36, 53, , 19, 
2025/2/12, 118, 32, 28, , 17, 
2025/2/13, 94, 32, 33, , 15, 
2025/2/14, 98, 47, 47, , 17, 
2025/2/15, 138, 44, 35, , 16, 
2025/2/16, 127, 35, 51, , 16, 
2025/2/17, 105, 37, 49, , 16, 
2025/2/18, 109, 35, 33, , 15, 
2025/2/19, 107, 37, 45, , 16, 
2025/2/20, 109, 45, 28, , 18, 
2025/2/21, 129, 44, 34, , 18, 
2025/2/22, 121, 52, 52, , 16, 
2025/2/23, 116, 31, 35, , 15, 
2025/2/24, 87, 39, 41, , 13, 
2025/2/25, 108, 55, 79, , 18, 
2025/2/26, 142, 38, 47, , 16, 
2025/2/27, 117, 41, 74, , 16, 
2025/2/28, 125, 43, 64, , 18, 
2025/3/1, 128, 37, 52, , 15, 
2025/1/2, 232, 57, 48, , , 
2025/1/3, 126, 51, 41, , 14, 
2025/1/4, 112, 44, 55, , 16, 
2025/1/5, 104, 42, 56, , 19, 
2025/1/6, 96, 47, 39, , 16, 
2025/1/7, 114, 43, 20, , 17, 
2025/1/8, 103, 23, 24, , 15, 
2025/1/9, 62, 29, 20, , 15, 
2025/1/10, 82, 22, 16, , 14, 
2025/1/11, 59, 18, 21, , 15, 
2025/1/12, 50, 20, 26, , 15, 
2025/1/13, 49, 26, 26, , 15, 
2025/1/14, 64, 36, 18, , 16, 
2025/1/15, 93, 50, 39, , 18, 
2025/1/16, 106, 40, 62, , 18, 
2025/1/17, 100, 37, 22, , 19, 
2025/1/18, 86, 35, 15, , 17, 
2025/1/19, 81, 36, 18, , 19, 
2025/1/20, 84, 29, 8, , 16, 
2025/1/21, 90, 35, 30, , 17, 
2025/1/22, 93, 38, 32, , 15, 
2025/1/23, 110, 43, 16, , 16, 
2025/1/24, 114, 43, 40, , 15, 
2025/1/25, 121, 57, 64, , 19, 
2025/1/26, 142, 39, 59, , 17, 
2025/1/27, 108, 35, 33, , 17, 
2025/1/28, 110, 43, 12, , 15, 
2025/1/29, 131, 41, 17, , 16, 
2025/1/30, 116, 40, 20, , 15, 
2025/1/31, 115, 47, 43, , 9, 
2025/2/1, 130, 43, 50, , , 
2024/10/2, 62, 25, 32, , 4, 
2024/10/3, 67, 31, 46, , 5, 
2024/10/4, 80, 45, 57, , 6, 
2024/10/5, 98, 38, 39, , 6, 
2024/10/6, 84, 28, 19, , 7, 
2024/10/7, 69, 18, 27, , 4, 
2024/10/8, 50, 19, 22, , 7, 
2024/10/9, 59, 20, 32, , 5, 
2024/10/10, 58, 32, 42, , 3, 
2024/10/11, 75, 35, 50, , 5, 
2024/10/12, 83, 31, 35, , 7, 
2024/10/13, 84, 37, 59, , 3, 
2024/10/14, 90, 45, 52, , 6, 
2024/10/15, 102, 34, 50, , 5, 
2024/10/16, 84, 30, 47, , 7, 
2024/10/17, 76, 35, 43, , 5, 
2024/10/18, 96, 37, 41, , 6, 
2024/10/19, 87, 33, 40, , 7, 
2024/10/20, 81, 18, 34, , 4, 
2024/10/21, 61, 20, 24, , 4, 
2024/10/22, 58, 25, 33, , 5, 
2024/10/23, 67, 34, 39, , 4, 
2024/10/24, 85, 37, 38, , 4, 
2024/10/25, 86, 51, 42, , 8, 
2024/10/26, 110, 31, 48, , 4, 
2024/10/27, 82, 29, 35, , 4, 
2024/10/28, 79, 40, 41, , 6, 
2024/10/29, 99, 51, 57, , 8, 
2024/10/30, 127, 32, 39, , 7, 
2024/10/31, 85, 41, 50, , 10, 
2024/11/1, 99, 42, 45, , 8, 
2024/11/2, 110, 52, 70, , 8, 
2024/11/3, 130, 25, 36, , 6, 
2024/11/4, 73, 35, 31, , 6, 
2024/11/5, 85, 35, 45, , 9, 
2024/11/6, 96, 41, 40, , 7, 
2024/11/7, 100, 35, 52, , 7, 
2024/11/8, 94, 40, 48, , 8, 
2024/11/9, 92, 42, 71, , 8, 
